L,T,V0,λ,J
29.0,0.001,1.5848931924611136,1.0563025742713958,1.0
29.0,0.001,1.6259646938814813,1.0836759852279736,1.0
29.0,0.001,1.6681005372000588,1.111758760760246,1.0
29.0,0.001,1.7113283041617808,1.140569283601074,1.0
29.0,0.001,1.7556762912750012,1.170126412860181,1.0
29.0,0.001,1.801173528334133,1.2004494963691499,1.0
29.0,0.001,1.847849797422291,1.2315583833463475,1.0
29.0,0.001,1.8957356524063758,1.263473437390038,1.0
29.0,0.001,1.944862438937362,1.2962155498082175,1.0
29.0,0.001,1.9952623149688795,1.3298061532938552,1.0
29.0,0.0012742749857031334,1.5848931924611136,1.0563025742559813,1.0
29.0,0.0012742749857031334,1.6259646938814813,1.0836759852121602,1.0
29.0,0.0012742749857031334,1.6681005372000588,1.1117587607440267,1.0
29.0,0.0012742749857031334,1.7113283041617808,1.140569283584432,1.0
29.0,0.0012742749857031334,1.7556762912750012,1.170126412843107,1.0
29.0,0.0012742749857031334,1.801173528334133,1.200449496351632,1.0
29.0,0.0012742749857031334,1.847849797422291,1.2315583833283796,1.0
29.0,0.0012742749857031334,1.8957356524063758,1.263473437371601,1.0
29.0,0.0012742749857031334,1.944862438937362,1.296215549789299,1.0
29.0,0.0012742749857031334,1.9952623149688795,1.3298061532744456,1.0
29.0,0.0016237767391887226,1.5848931924611136,1.0563025720071995,1.0
29.0,0.0016237767391887226,1.6259646938814813,1.0836759829051053,1.0
29.0,0.0016237767391887226,1.6681005372000588,1.1117587583771813,1.0
29.0,0.0016237767391887226,1.7113283041617808,1.1405692811562527,1.0
29.0,0.0016237767391887226,1.7556762912750012,1.170126410352,1.0
29.0,0.0016237767391887226,1.801173528334133,1.2004494937959747,1.0
29.0,0.0016237767391887226,1.847849797422291,1.2315583807064903,1.0
29.0,0.0016237767391887226,1.8957356524063758,1.263473434681771,1.0
29.0,0.0016237767391887226,1.944862438937362,1.2962155470297647,1.0
29.0,0.0016237767391887226,1.9952623149688795,1.329806150443403,1.0
29.0,0.00206913808111479,1.5848931924611136,1.0563024607898157,1.0
29.0,0.00206913808111479,1.6259646938814813,1.0836758688055912,1.0
29.0,0.00206913808111479,1.6681005372000588,1.1117586413208522,1.0
29.0,0.00206913808111479,1.7113283041617808,1.1405691610664814,1.0
29.0,0.00206913808111479,1.7556762912750012,1.1701262871501794,1.0
29.0,0.00206913808111479,1.801173528334133,1.200449367401455,1.0
29.0,0.00206913808111479,1.847849797422291,1.2315582510365377,1.0
29.0,0.00206913808111479,1.8957356524063758,1.2634733016515067,1.0
29.0,0.00206913808111479,1.944862438937362,1.2962154105521069,1.0
29.0,0.00206913808111479,1.9952623149688795,1.3298060104290066,1.0
29.0,0.0026366508987303583,1.5848931924611136,1.056300125121295,1.0
29.0,0.0026366508987303583,1.6259646938814813,1.0836734726097037,1.0
29.0,0.0026366508987303583,1.6681005372000588,1.1117561830290672,1.0
29.0,0.0026366508987303583,1.7113283041617808,1.140566639069623,1.0
29.0,0.0026366508987303583,1.7556762912750012,1.1701236997973754,1.0
29.0,0.0026366508987303583,1.801173528334133,1.200446712999045,1.0
29.0,0.0026366508987303583,1.847849797422291,1.2315555278469728,1.0
29.0,0.0026366508987303583,1.8957356524063758,1.2634705078922126,1.0
29.0,0.0026366508987303583,1.944862438937362,1.2962125443943078,1.0
29.0,0.0026366508987303583,1.9952623149688795,1.3298030699965562,1.0
29.0,0.003359818286283781,1.5848931924611136,1.056275291860881,1.0
29.0,0.003359818286283781,1.6259646938814813,1.0836479958111025,1.0
29.0,0.003359818286283781,1.6681005372000588,1.111730046015396,1.0
29.0,0.003359818286283781,1.7113283041617808,1.1405398247318281,1.0
29.0,0.003359818286283781,1.7556762912750012,1.1700961905830338,1.0
29.0,0.003359818286283781,1.801173528334133,1.2004184909008666,1.0
29.0,0.003359818286283781,1.847849797422291,1.2315265743910284,1.0
29.0,0.003359818286283781,1.8957356524063758,1.2634408041258274,1.0
29.0,0.003359818286283781,1.944862438937362,1.296182070873669,1.0
29.0,0.003359818286283781,1.9952623149688795,1.3297718067739617,1.0
29.0,0.004281332398719396,1.5848931924611136,1.0561218582174339,1.0
29.0,0.004281332398719396,1.6259646938814813,1.0834905860321487,1.0
29.0,0.004281332398719396,1.6681005372000588,1.1115685570618994,1.0
29.0,0.004281332398719396,1.7113283041617808,1.1403741508945737,1.0
29.0,0.004281332398719396,1.7556762912750012,1.1699262234134116,1.0
29.0,0.004281332398719396,1.801173528334133,1.2002441191398912,1.0
29.0,0.004281332398719396,1.847849797422291,1.231347683896514,1.0
29.0,0.004281332398719396,1.8957356524063758,1.2632572777976585,1.0
29.0,0.004281332398719396,1.944862438937362,1.295993788577156,1.0
29.0,0.004281332398719396,1.9952623149688795,1.3295786452612093,1.0
29.0,0.00545559478116852,1.5848931924611136,1.0555086031228376,1.0
29.0,0.00545559478116852,1.6259646938814813,1.0828614388209,1.0
29.0,0.00545559478116852,1.6681005372000588,1.1109231058998872,1.0
29.0,0.00545559478116852,1.7113283041617808,1.139711973275254,1.0
29.0,0.00545559478116852,1.7556762912750012,1.1692468858812566,1.0
29.0,0.00545559478116852,1.801173528334133,1.199547177006655,1.0
29.0,0.00545559478116852,1.847849797422291,1.2306326809501227,1.0
29.0,0.00545559478116852,1.8957356524063758,1.2625237460036027,1.0
